"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"1","A. Mario Loiederman Middle","Math",11.4568075117371,2023,15,"Montgomery",787," Mathematics All Grades","All Students","967","*",5,"59.3","35.9","<= 5.0","<= 5.0",20241015,-6.45680751173709,"-8579470.151","4731035.5582","2275","Montgomery                                        ","15.268","12701 GOODHILL ROAD","SILVER SPRING","MD","20906","6-8","Middle","ZCTA5 20906","B19301_001",43855,2171
"2","Aberdeen High","Math",6.1,2023,12,"Harford",270," Mathematics All Grades","All Students","626","57",9.1,"38.8","52.1","7.5","<= 5.0",20241015,3,"-8479327.9093","4795914.6267","2232","Harford                                           ","12.058","251 PARADISE ROAD","ABERDEEN","MD","21001","9-12","High","ZCTA5 21001","B19301_001",40698,2393
"3","Aberdeen Middle","Math",12.262328042328,2023,12,"Harford",265," Mathematics All Grades","All Students","1036","54",5.2,"51.0","43.8","5.1","<= 5.0",20241015,-7.06232804232804,"-8478596.3742","4795770.8767","1721","Harford                                           ","12.006","111 MOUNT ROYAL AVENUE","ABERDEEN","MD","21001","6-8","Middle","ZCTA5 21001","B19301_001",40698,2393
"4","Abingdon Elementary","Math",21.0048661800487,2023,12,"Harford",123," Mathematics All Grades","All Students","294","113",38.4,"10.9","50.7","37.1","<= 5.0",20241015,17.3951338199513,"-8496487.5503","4790292.5737","1871","Harford                                           ","12.049","3001 S. TOLLGATE ROAD","ABINGDON","MD","21009","PreK-5","Elementary","ZCTA5 21009","B19301_001",50399,2749
"5","Accident Elementary","Math",19.1021653543307,2023,11,"Garrett",1501," Mathematics All Grades","All Students","101","41",40.6,"<= 5.0","56.4","35.6","<= 5.0",20241015,21.4978346456693,"-8828799.6051","4811777.2151","1725","Garrett                                           ","11.013","534 ACCIDENT BITTINGER ROAD P.O. BOX 260","ACCIDENT","MD","21520","PreK-5","Elementary","ZCTA5 21520","B19301_001",41376,17036
"6","Albert Einstein High","Math",7.46756756756757,2023,15,"Montgomery",789," Mathematics All Grades","All Students","287","*",5,"58.9","40.8","<= 5.0","<= 5.0",20241015,-2.46756756756757,"-8579072.8183","4727290.4903","2213","Montgomery                                        ","15.031","11135 NEWPORT MILL ROAD","KENSINGTON","MD","20895","9-12","High","ZCTA5 20895","B19301_001",80692,4734
"7","Allegany High","Math",14.0289855072464,2023,1,"Allegany",606," Mathematics All Grades","All Students","416","54",13,"27.4","59.6","13.0","<= 5.0",20241015,-1.02898550724638,"-8771485.4174","4816032.1774","1467","Allegany                                          ","01.038","900 SETON DRIVE","CUMBERLAND","MD","21502","9-12","High","ZCTA5 21502","B19301_001",30485,1296
"8","Allenwood Elementary","Math",7.7,2023,16,"Prince George's",632," Mathematics All Grades","All Students","159","15",9.4,"49.7","40.9","9.4","<= 5.0",20241015,1.7,"-8563825.0303","4693506.1299","1921","Prince George's                                   ","16.205","6300 HARLEY LANE","TEMPLE HILLS","MD","20748","PreK-5","Elementary","ZCTA5 20748","B19301_001",40547,2000
"9","Andrew Jackson Academy","Math",7.81658986175115,2023,16,"Prince George's",645," Mathematics All Grades","All Students","260","*",5,"64.6","31.2","<= 5.0","<= 5.0",20241015,-2.81658986175115,"-8561390.8312","4698955.757","2312","Prince George's                                   ","16.197","3500 REGENCY PARKWAY","FORESTVILLE","MD","20747","PreK-8","PreK-8","ZCTA5 20747","B19301_001",38921,2062
"10","Annapolis Elementary","Math",9.79489361702128,2023,2,"Anne Arundel",4092," Mathematics All Grades","All Students","77","19",24.7,"27.3","48.1","23.4","<= 5.0",20241015,14.9051063829787,"-8514574.6733","4718312.8432","2575","Anne Arundel                                      ","02.034","180 GREEN STREET","ANNAPOLIS","MD","21401","PreK-5","Elementary","ZCTA5 21401","B19301_001",78167,6474
"11","Annapolis High","Math",27.6652482269504,2023,2,"Anne Arundel",4013," Mathematics All Grades","All Students","74","4",5.4,"54.1","40.5","5.4","<= 5.0",20241015,-22.2652482269504,"-8523241.0895","4718020.0773","2383","Anne Arundel                                      ","02.030","2700 RIVA ROAD","ANNAPOLIS","MD","21401","9-12","High","ZCTA5 21401","B19301_001",78167,6474
"12","Annapolis Middle","Math",10.5855231560892,2023,2,"Anne Arundel",4033," Mathematics All Grades","All Students","842","57",6.8,"65.6","27.7","6.4","<= 5.0",20241015,-3.78552315608919,"-8517213.9808","4715670.27","2378","Anne Arundel                                      ","02.061","1399 FOREST DRIVE","ANNAPOLIS","MD","21403","6-8","Middle","ZCTA5 21403","B19301_001",76445,5820
"13","Apple Grove Elementary","Math",7.11868327402135,2023,16,"Prince George's",1229," Mathematics All Grades","All Students","249","17",6.8,"37.8","55.4","6.4","<= 5.0",20241015,-0.318683274021352,"-8567466.6674","4691515.1758","2041","Prince George's                                   ","16.057","7400 BELLEFIELD AVENUE","FORT WASHINGTON","MD","20744","PreK-6","Elementary","ZCTA5 20744","B19301_001",51671,2307
"14","Arbutus Elementary","Math",16.5012315270936,2023,3,"Baltimore County",1302," Mathematics All Grades","All Students","166","50",30.1,"15.7","54.2","27.1","<= 5.0",20241015,13.5987684729064,"-8537822.5469","4757217.4066","2371","Baltimore County                                  ","03.160","1300 SULPHUR SPRING ROAD","BALTIMORE","MD","21227","PreK-5","Elementary","ZCTA5 21227","B19301_001",39846,2966
"15","Arbutus Middle","Math",18.9581949765858,2023,3,"Baltimore County",1356," Mathematics All Grades","All Students","928","90",9.7,"41.5","48.8","9.3","<= 5.0",20241015,-9.25819497658578,"-8538796.3179","4757248.2864","2372","Baltimore County                                  ","03.048","5525 SHELBOURNE RD","BALTIMORE","MD","21227","6-8","Middle","ZCTA5 21227","B19301_001",39846,2966
"16","Arcola Elementary","Math",11.079647527004,2023,15,"Montgomery",790," Mathematics All Grades","All Students","315","62",19.7,"28.3","52.1","18.7","<= 5.0",20241015,8.62035247299602,"-8575998.6247","4728163.2628","2198","Montgomery                                        ","15.049","1820 FRANWELL AVENUE","SILVER SPRING","MD","20902","HS-5","Elementary","ZCTA5 20902","B19301_001",48887,2703
"17","Ardmore Elementary","Math",7.00656205420827,2023,16,"Prince George's",2008," Mathematics All Grades","All Students","203","31",15.3,"34.0","50.7","15.3","<= 5.0",20241015,8.29343794579173,"-8554525.534","4712240.4334","1976","Prince George's                                   ","16.164","9301 ARDWICK ARDMORE ROAD","SPRINGDALE","MD","20774","PreK-5","Elementary","ZCTA5 20774","B19301_001",60028,2920
"18","Argyle Middle","Math",14.9962197802198,2023,15,"Montgomery",823," Mathematics All Grades","All Students","984","91",9.2,"47.3","43.5","8.9","<= 5.0",20241015,-5.79621978021978,"-8577033.501","4734462.1784","2079","Montgomery                                        ","15.231","2400 BEL PRE ROAD","SILVER SPRING","MD","20906","6-8","Middle","ZCTA5 20906","B19301_001",43855,2171
"19","Arnold Elementary","Math",33.6460132890365,2023,2,"Anne Arundel",2052," Mathematics All Grades","All Students","253","134",53,"7.1","39.9","47.8","5.1",20241015,19.3539867109635,"-8516383.2508","4726579.3715","2609","Anne Arundel                                      ","02.106","95 JOYCE LANE EAST","ARNOLD","MD","21012","K-5","Elementary","ZCTA5 21012","B19301_001",60885,3416
"20","Arrowhead Elementary","Math",9.54372294372294,2023,16,"Prince George's",640," Mathematics All Grades","All Students","208","*",5,"55.3","39.9","<= 5.0","<= 5.0",20241015,-4.54372294372294,"-8554129.7199","4701186.9219","2035","Prince George's                                   ","16.074","2300 SANSBURY ROAD","UPPER MARLBORO","MD","20774","PreK-5","Elementary","ZCTA5 20774","B19301_001",60028,2920
"21","Arundel High","Math",36.7367346938776,2023,2,"Anne Arundel",3013," Mathematics All Grades","All Students","227","*",5,"27.3","71.4","<= 5.0","<= 5.0",20241015,-31.7367346938776,"-8536201.3176","4731890.4152","2569","Anne Arundel                                      ","02.040","1001 ANNAPOLIS ROAD","GAMBRILLS","MD","21054","9-12","High","ZCTA5 21054","B19301_001",62213,5739
"22","Arundel Middle","Math",19.4918504515858,2023,2,"Anne Arundel",3023," Mathematics All Grades","All Students","1281","359",28,"23.3","48.7","25.4","<= 5.0",20241015,8.5081495484142,"-8536653.6562","4732066.0328","2564","Anne Arundel                                      ","02.057","1179 HAMMOND LANE","ODENTON","MD","21113","6-8","Middle","ZCTA5 21113","B19301_001",58205,3368
"23","Ashburton Elementary","Math",38.5429995253916,2023,15,"Montgomery",425," Mathematics All Grades","All Students","407","232",57,"7.1","35.9","49.1","7.9",20241015,18.4570004746084,"-8585786.0499","4724439.5182","2120","Montgomery                                        ","15.188","6314 LONE OAK DRIVE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
"24","Atholton Elementary","Math",34.2136842105263,2023,13,"Howard",603," Mathematics All Grades","All Students","217","105",48.4,"10.1","41.5","44.2","<= 5.0",20241015,14.1863157894737,"-8556374.1209","4748323.1141","1601","Howard                                            ","13.030","6700 SENECA DRIVE","COLUMBIA","MD","21046","PreK-5","Elementary","ZCTA5 21046","B19301_001",61464,3782
"25","Atholton High","Math",19.3263157894737,2023,13,"Howard",509," Mathematics All Grades","All Students","541","108",20,"25.7","54.3","18.3","<= 5.0",20241015,0.673684210526318,"-8558308.3281","4748644.3831","1807","Howard                                            ","13.013","6520 FREETOWN ROAD","COLUMBIA","MD","21044","9-12","High","ZCTA5 21044","B19301_001",67519,4010
"26","Avalon Elementary","Math",7.1,2023,16,"Prince George's",1221," Mathematics All Grades","All Students","111","14",12.6,"44.1","43.2","12.6","<= 5.0",20241015,5.5,"-8565157.2842","4691755.7818","2057","Prince George's                                   ","16.019","7302 WEBSTER LANE","FORT WASHINGTON","MD","20744","PreK-5","Elementary","ZCTA5 20744","B19301_001",51671,2307
"27","Baden Elementary","Math",14.881679389313,2023,16,"Prince George's",802," Mathematics All Grades","All Students","102","20",19.6,"31.4","49.0","17.6","<= 5.0",20241015,4.71832061068702,"-8546037.464","4673191.7003","1932","Prince George's                                   ","16.228","13601 BADEN-WESTWOOD ROAD","BRANDYWINE","MD","20613","PreK-6","Elementary","ZCTA5 20613","B19301_001",60879,5333
"28","Bainbridge Elementary","Math",14.7622818791946,2023,7,"Cecil",704," Mathematics All Grades","All Students","117","51",43.6,"10.3","46.2","41.0","<= 5.0",20241015,28.8377181208054,"-8468545.3714","4808890.4182","1652","Cecil                                             ","07.034","41 PRESTON DR","PORT DEPOSIT","MD","21904","PreK-5","Elementary","ZCTA5 21904","B19301_001",39346,4768
"29","Bakerfield Elementary","Math",12.7877378435518,2023,12,"Harford",212," Mathematics All Grades","All Students","207","65",31.4,"15.0","53.6","30.0","<= 5.0",20241015,18.6122621564482,"-8479267.1127","4795486.087","2364","Harford                                           ","12.044","36 BAKER ST","ABERDEEN","MD","21001","PreK-5","Elementary","ZCTA5 21001","B19301_001",40698,2393
"30","Ballenger Creek Elementary","Math",18.9209071580439,2023,10,"Frederick",223," Mathematics All Grades","All Students","317","104",32.8,"12.0","55.2","30.9","<= 5.0",20241015,13.8790928419561,"-8619535.2399","4775935.4676","1758","Frederick                                         ","10.043","5250 KINGSBROOK DR","FREDERICK","MD","21703","PreK-5","Elementary","ZCTA5 21703","B19301_001",44225,2427
"31","Ballenger Creek Middle","Math",14.9571717755928,2023,10,"Frederick",2305," Mathematics All Grades","All Students","807","168",20.8,"28.9","50.3","19.1","<= 5.0",20241015,5.84282822440717,"-8620688.456","4777079.9359","1756","Frederick                                         ","10.041","5525 BALLENGER CREEK PIKE","FREDERICK","MD","21703","6-8","Middle","ZCTA5 21703","B19301_001",44225,2427
"32","Baltimore City College","Math",8.58957055214724,2023,30,"Baltimore City",480," Mathematics All Grades","All Students","236","21",8.9,"17.8","73.3","8.9","<= 5.0",20241015,0.310429447852762,"-8526749.1392","4768441.9952","2689","Baltimore City                                    ","30.110","3220 THE ALAMEDA","BALTIMORE","MD","21218","9-12","High","ZCTA5 21218","B19301_001",38481,2867
"33","Baltimore Highlands Elementary","Math",11.0174358974359,2023,3,"Baltimore County",1307," Mathematics All Grades","All Students","236","34",14.4,"42.4","43.2","13.6","<= 5.0",20241015,3.3825641025641,"-8531763.836","4755675.6982","2701","Baltimore County                                  ","03.100","4200 ANNAPOLIS RD","BALTIMORE","MD","21227","PreK-5","Elementary","ZCTA5 21227","B19301_001",39846,2966
"34","Baltimore Leadership School for Young Women","Math",5.40801603206413,2023,30,"Baltimore City",348," Mathematics All Grades","All Students","285","*",5,"66.0","31.6","<= 5.0","<= 5.0",20241015,-0.408016032064128,"-8529083.6723","4764043.8108","2724","Baltimore City                                    ","30.284","128 W FRANKLIN ST","BALTIMORE","MD","21201","6-12","Middle/High","ZCTA5 21201","B19301_001",40342,4171
