Year,LEA,LEA Name,School,School Name,Assessment,Student Group,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2024,01,Allegany,0301,Flintstone Elementary,English Language Arts 03,All Students,27,18,66.7,<= 5.0,33.3,51.9,14.8,20240903
2024,01,Allegany,0301,Flintstone Elementary,English Language Arts 04,All Students,23,17,73.9,<= 5.0,26.1,69.6,<= 5.0,20240903
2024,01,Allegany,0301,Flintstone Elementary,English Language Arts 05,All Students,33,20,60.6,<= 5.0,39.4,51.5,9.1,20240903
2024,01,Allegany,0301,Flintstone Elementary, English Language Arts All Grades,All Students,83,55,66.3,<= 5.0,33.7,56.6,9.6,20240903
2024,01,Allegany,0401,South Penn Elementary,English Language Arts 03,All Students,63,17,27.0,22.2,50.8,27.0,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary,English Language Arts 04,All Students,56,22,39.3,14.3,46.4,39.3,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary,English Language Arts 05,All Students,83,18,21.7,26.5,51.8,21.7,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary, English Language Arts All Grades,All Students,202,57,28.2,21.8,50.0,28.2,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,English Language Arts 03,All Students,36,18,50.0,<= 5.0,47.2,47.2,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,English Language Arts 04,All Students,38,15,39.5,5.3,55.3,39.5,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,English Language Arts 05,All Students,35,9,25.7,22.9,51.4,25.7,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary, English Language Arts All Grades,All Students,109,42,38.5,10.1,51.4,37.6,<= 5.0,20240903
2024,01,Allegany,0405,Fort Hill High,English Language Arts 10,All Students,221,116,52.5,8.6,38.9,44.8,7.7,20240903
2024,01,Allegany,0405,Fort Hill High, English Language Arts All Grades,All Students,221,116,52.5,8.6,38.9,44.8,7.7,20240903
2024,01,Allegany,0406,Washington Middle,English Language Arts 06,All Students,186,80,43.0,9.7,47.3,37.6,5.4,20240903
2024,01,Allegany,0406,Washington Middle,English Language Arts 07,All Students,162,55,34.0,8.0,58.0,29.0,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle,English Language Arts 08,All Students,196,73,37.2,26.5,36.2,32.7,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle, English Language Arts All Grades,All Students,544,208,38.2,15.3,46.5,33.3,<= 5.0,20240903
2024,01,Allegany,0502,Northeast Elementary,English Language Arts 03,All Students,40,22,55.0,<= 5.0,40.0,40.0,15.0,20240903
2024,01,Allegany,0502,Northeast Elementary,English Language Arts 04,All Students,39,27,69.2,<= 5.0,30.8,64.1,5.1,20240903
2024,01,Allegany,0502,Northeast Elementary,English Language Arts 05,All Students,38,17,44.7,5.3,50.0,42.1,<= 5.0,20240903
2024,01,Allegany,0502,Northeast Elementary, English Language Arts All Grades,All Students,117,66,56.4,<= 5.0,40.2,48.7,7.7,20240903
2024,01,Allegany,0504,Braddock Middle,English Language Arts 06,All Students,168,90,53.6,10.1,36.3,45.2,8.3,20240903
2024,01,Allegany,0504,Braddock Middle,English Language Arts 07,All Students,200,107,53.5,7.5,39.0,49.5,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,English Language Arts 08,All Students,200,122,61.0,9.0,30.0,55.0,6.0,20240903
2024,01,Allegany,0504,Braddock Middle, English Language Arts All Grades,All Students,568,319,56.2,8.8,35.0,50.2,6.0,20240903
2024,01,Allegany,0601,Center for Career & Technical Education,English Language Arts 10,All Students,72,5,6.9,18.1,75.0,6.9,<= 5.0,20240903
2024,01,Allegany,0601,Center for Career & Technical Education, English Language Arts All Grades,All Students,72,5,6.9,18.1,75.0,6.9,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,English Language Arts 03,All Students,50,18,36.0,<= 5.0,60.0,36.0,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,English Language Arts 04,All Students,57,37,64.9,8.8,26.3,63.2,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,English Language Arts 05,All Students,54,32,59.3,7.4,33.3,53.7,5.6,20240903
2024,01,Allegany,0603,West Side Elementary, English Language Arts All Grades,All Students,161,87,54.0,6.8,39.1,51.6,<= 5.0,20240903
2024,01,Allegany,0606,Allegany High,English Language Arts 10,All Students,234,136,58.1,6.8,35.0,45.3,12.8,20240903
2024,01,Allegany,0606,Allegany High, English Language Arts All Grades,All Students,234,136,58.1,6.8,35.0,45.3,12.8,20240903
2024,01,Allegany,0701,Cresaptown Elementary,English Language Arts 03,All Students,30,20,66.7,<= 5.0,30.0,66.7,<= 5.0,20240903
2024,01,Allegany,0701,Cresaptown Elementary,English Language Arts 04,All Students,44,27,61.4,<= 5.0,36.4,56.8,<= 5.0,20240903
2024,01,Allegany,0701,Cresaptown Elementary,English Language Arts 05,All Students,41,23,56.1,9.8,34.1,46.3,9.8,20240903
2024,01,Allegany,0701,Cresaptown Elementary, English Language Arts All Grades,All Students,115,70,60.9,5.2,33.9,55.7,5.2,20240903
2024,01,Allegany,0702,Bel Air Elementary,English Language Arts 03,All Students,39,23,59.0,<= 5.0,38.5,56.4,<= 5.0,20240903
2024,01,Allegany,0702,Bel Air Elementary,English Language Arts 04,All Students,30,19,63.3,<= 5.0,33.3,63.3,<= 5.0,20240903
2024,01,Allegany,0702,Bel Air Elementary,English Language Arts 05,All Students,35,22,62.9,11.4,25.7,51.4,11.4,20240903
2024,01,Allegany,0702,Bel Air Elementary, English Language Arts All Grades,All Students,104,64,61.5,5.8,32.7,56.7,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary,English Language Arts 03,All Students,35,19,54.3,5.7,40.0,54.3,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary,English Language Arts 04,All Students,44,25,56.8,<= 5.0,40.9,52.3,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary,English Language Arts 05,All Students,40,16,40.0,15.0,45.0,37.5,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary, English Language Arts All Grades,All Students,119,60,50.4,7.6,42.0,47.9,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,English Language Arts 06,All Students,98,38,38.8,5.1,56.1,37.8,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,English Language Arts 07,All Students,75,39,52.0,<= 5.0,48.0,46.7,5.3,20240903
2024,01,Allegany,0802,Westmar Middle,English Language Arts 08,All Students,67,43,64.2,10.4,25.4,61.2,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle, English Language Arts All Grades,All Students,240,120,50.0,<= 5.0,45.0,47.1,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary,English Language Arts 03,All Students,23,7,30.4,13.0,56.5,30.4,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary,English Language Arts 04,All Students,48,18,37.5,6.3,56.3,33.3,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary,English Language Arts 05,All Students,36,4,11.1,19.4,69.4,11.1,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary, English Language Arts All Grades,All Students,107,29,27.1,12.1,60.7,25.2,<= 5.0,20240903
2024,01,Allegany,1101,Frost Elementary,English Language Arts 03,All Students,25,23,92.0,<= 5.0,8.0,76.0,16.0,20240903
2024,01,Allegany,1101,Frost Elementary,English Language Arts 04,All Students,36,29,80.6,<= 5.0,19.4,58.3,22.2,20240903
2024,01,Allegany,1101,Frost Elementary,English Language Arts 05,All Students,23,12,52.2,<= 5.0,43.5,43.5,8.7,20240903
2024,01,Allegany,1101,Frost Elementary, English Language Arts All Grades,All Students,84,64,76.2,<= 5.0,22.6,59.5,16.7,20240903
2024,01,Allegany,1301,Mount Savage Middle,English Language Arts 06,All Students,146,73,50.0,<= 5.0,46.6,43.2,6.8,20240903
2024,01,Allegany,1301,Mount Savage Middle,English Language Arts 07,All Students,145,90,62.1,<= 5.0,33.1,55.2,6.9,20240903
2024,01,Allegany,1301,Mount Savage Middle,English Language Arts 08,All Students,139,87,62.6,8.6,28.8,57.6,<= 5.0,20240903
2024,01,Allegany,1301,Mount Savage Middle, English Language Arts All Grades,All Students,430,250,58.1,5.6,36.3,51.9,6.3,20240903
2024,01,Allegany,1302,Mt. Savage Elementary,English Language Arts 03,All Students,38,25,65.8,<= 5.0,34.2,63.2,<= 5.0,20240903
