Year,LEA,LEA Name,School,School Name,Assessment,Student Group,Tested Count,Proficient Count,Proficient Pct,Level 1 Pct,Level 2 Pct,Level 3 Pct,Level 4 Pct,Create Date
2024,01,Allegany,0301,Flintstone Elementary,Mathematics 03,All Students,27,15,55.6,14.8,29.6,51.9,<= 5.0,20240903
2024,01,Allegany,0301,Flintstone Elementary,Mathematics 04,All Students,23,5,21.7,21.7,56.5,17.4,<= 5.0,20240903
2024,01,Allegany,0301,Flintstone Elementary,Mathematics 05,All Students,33,11,33.3,<= 5.0,63.6,30.3,<= 5.0,20240903
2024,01,Allegany,0301,Flintstone Elementary, Mathematics All Grades,All Students,83,31,37.3,12.0,50.6,33.7,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary,Mathematics 03,All Students,63,16,25.4,44.4,30.2,25.4,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary,Mathematics 04,All Students,57,9,15.8,26.3,57.9,15.8,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary,Mathematics 05,All Students,83,13,15.7,19.3,65.1,14.5,<= 5.0,20240903
2024,01,Allegany,0401,South Penn Elementary, Mathematics All Grades,All Students,203,38,18.7,29.1,52.2,18.2,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,Mathematics 03,All Students,36,14,38.9,22.2,38.9,38.9,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,Mathematics 04,All Students,38,9,23.7,31.6,44.7,21.1,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary,Mathematics 05,All Students,35,4,11.4,11.4,77.1,11.4,<= 5.0,20240903
2024,01,Allegany,0402,John Humbird Elementary, Mathematics All Grades,All Students,109,27,24.8,22.0,53.2,23.9,<= 5.0,20240903
2024,01,Allegany,0405,Fort Hill High,Algebra 1  ,All Students,263,*,<= 5.0,42.2,53.6,<= 5.0,<= 5.0,20240903
2024,01,Allegany,0405,Fort Hill High,Algebra 2  ,All Students,*,*,*,*,*,*,*,20240903
2024,01,Allegany,0405,Fort Hill High,Geometry  ,All Students,39,14,35.9,7.7,56.4,35.9,<= 5.0,20240903
2024,01,Allegany,0405,Fort Hill High, Mathematics All Grades,All Students,303,25,8.3,37.6,54.1,8.3,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle,Mathematics 06,All Students,186,22,11.8,40.9,47.3,11.3,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle,Mathematics 07,All Students,150,22,14.7,54.0,31.3,14.7,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle,Mathematics 08,All Students,136,*,<= 5.0,56.6,41.2,<= 5.0,<= 5.0,20240903
2024,01,Allegany,0406,Washington Middle,Algebra 1  ,All Students,69,45,65.2,<= 5.0,34.8,53.6,11.6,20240903
2024,01,Allegany,0406,Washington Middle,Geometry  ,All Students,*,*,*,*,*,*,*,20240903
2024,01,Allegany,0406,Washington Middle, Mathematics All Grades,All Students,542,93,17.2,43.2,39.7,15.5,<= 5.0,20240903
2024,01,Allegany,0502,Northeast Elementary,Mathematics 03,All Students,40,23,57.5,7.5,35.0,50.0,7.5,20240903
2024,01,Allegany,0502,Northeast Elementary,Mathematics 04,All Students,39,21,53.8,5.1,41.0,48.7,5.1,20240903
2024,01,Allegany,0502,Northeast Elementary,Mathematics 05,All Students,38,14,36.8,10.5,52.6,36.8,<= 5.0,20240903
2024,01,Allegany,0502,Northeast Elementary, Mathematics All Grades,All Students,117,58,49.6,7.7,42.7,45.3,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,Mathematics 06,All Students,167,65,38.9,20.4,40.7,37.1,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,Mathematics 07,All Students,168,45,26.8,32.1,41.1,25.6,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,Mathematics 08,All Students,108,14,13.0,33.3,53.7,13.0,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,Algebra 1  ,All Students,108,51,47.2,<= 5.0,50.0,46.3,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle,Geometry  ,All Students,21,7,33.3,<= 5.0,66.7,33.3,<= 5.0,20240903
2024,01,Allegany,0504,Braddock Middle, Mathematics All Grades,All Students,572,182,31.8,22.2,46.0,30.8,<= 5.0,20240903
2024,01,Allegany,0601,Center for Career & Technical Education,Algebra 1  ,All Students,114,10,8.8,43.0,48.2,8.8,<= 5.0,20240903
2024,01,Allegany,0601,Center for Career & Technical Education, Mathematics All Grades,All Students,114,10,8.8,43.0,48.2,8.8,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,Mathematics 03,All Students,49,13,26.5,32.7,40.8,26.5,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,Mathematics 04,All Students,57,17,29.8,21.1,49.1,28.1,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary,Mathematics 05,All Students,53,15,28.3,22.6,49.1,26.4,<= 5.0,20240903
2024,01,Allegany,0603,West Side Elementary, Mathematics All Grades,All Students,159,45,28.3,25.2,46.5,27.0,<= 5.0,20240903
2024,01,Allegany,0606,Allegany High,Algebra 1  ,All Students,295,35,11.9,26.4,61.7,11.9,<= 5.0,20240903
2024,01,Allegany,0606,Allegany High,Algebra 2  ,All Students,14,5,35.7,<= 5.0,64.3,35.7,<= 5.0,20240903
2024,01,Allegany,0606,Allegany High,Geometry  ,All Students,22,4,18.2,9.1,72.7,18.2,<= 5.0,20240903
2024,01,Allegany,0606,Allegany High, Mathematics All Grades,All Students,331,44,13.3,24.2,62.5,13.3,<= 5.0,20240903
2024,01,Allegany,0701,Cresaptown Elementary,Mathematics 03,All Students,30,20,66.7,16.7,16.7,60.0,6.7,20240903
2024,01,Allegany,0701,Cresaptown Elementary,Mathematics 04,All Students,44,14,31.8,13.6,54.5,27.3,<= 5.0,20240903
2024,01,Allegany,0701,Cresaptown Elementary,Mathematics 05,All Students,42,20,47.6,<= 5.0,47.6,45.2,<= 5.0,20240903
2024,01,Allegany,0701,Cresaptown Elementary, Mathematics All Grades,All Students,116,54,46.6,11.2,42.2,42.2,<= 5.0,20240903
2024,01,Allegany,0702,Bel Air Elementary,Mathematics 03,All Students,38,23,60.5,7.9,31.6,52.6,7.9,20240903
2024,01,Allegany,0702,Bel Air Elementary,Mathematics 04,All Students,32,10,31.3,12.5,56.3,21.9,9.4,20240903
2024,01,Allegany,0702,Bel Air Elementary,Mathematics 05,All Students,35,8,22.9,5.7,71.4,22.9,<= 5.0,20240903
2024,01,Allegany,0702,Bel Air Elementary, Mathematics All Grades,All Students,105,41,39.0,8.6,52.4,33.3,5.7,20240903
2024,01,Allegany,0801,Westernport Elementary,Mathematics 03,All Students,35,12,34.3,25.7,40.0,34.3,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary,Mathematics 04,All Students,44,22,50.0,<= 5.0,45.5,45.5,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary,Mathematics 05,All Students,40,4,10.0,22.5,67.5,10.0,<= 5.0,20240903
2024,01,Allegany,0801,Westernport Elementary, Mathematics All Grades,All Students,119,38,31.9,16.8,51.3,30.3,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,Mathematics 06,All Students,98,10,10.2,36.7,53.1,10.2,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,Mathematics 07,All Students,75,14,18.7,37.3,44.0,18.7,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,Mathematics 08,All Students,50,*,<= 5.0,40.0,60.0,<= 5.0,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle,Algebra 1  ,All Students,17,1,5.9,<= 5.0,94.1,5.9,<= 5.0,20240903
2024,01,Allegany,0802,Westmar Middle, Mathematics All Grades,All Students,240,25,10.4,35.0,54.6,10.4,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary,Mathematics 03,All Students,23,8,34.8,26.1,39.1,26.1,8.7,20240903
2024,01,Allegany,1001,George's Creek Elementary,Mathematics 04,All Students,48,15,31.3,16.7,52.1,29.2,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary,Mathematics 05,All Students,36,4,11.1,8.3,80.6,11.1,<= 5.0,20240903
2024,01,Allegany,1001,George's Creek Elementary, Mathematics All Grades,All Students,107,27,25.2,15.9,58.9,22.4,<= 5.0,20240903
2024,01,Allegany,1101,Frost Elementary,Mathematics 03,All Students,25,22,88.0,<= 5.0,12.0,60.0,28.0,20240903
2024,01,Allegany,1101,Frost Elementary,Mathematics 04,All Students,36,23,63.9,5.6,30.6,47.2,16.7,20240903
2024,01,Allegany,1101,Frost Elementary,Mathematics 05,All Students,23,9,39.1,21.7,39.1,30.4,8.7,20240903
2024,01,Allegany,1101,Frost Elementary, Mathematics All Grades,All Students,84,54,64.3,8.3,27.4,46.4,17.9,20240903
2024,01,Allegany,1301,Mount Savage Middle,Mathematics 06,All Students,146,32,21.9,27.4,50.7,20.5,<= 5.0,20240903
2024,01,Allegany,1301,Mount Savage Middle,Mathematics 07,All Students,145,47,32.4,29.7,37.9,30.3,<= 5.0,20240903
2024,01,Allegany,1301,Mount Savage Middle,Mathematics 08,All Students,82,6,7.3,26.8,65.9,7.3,<= 5.0,20240903
2024,01,Allegany,1301,Mount Savage Middle,Algebra 1  ,All Students,57,29,50.9,<= 5.0,49.1,45.6,5.3,20240903
2024,01,Allegany,1301,Mount Savage Middle, Mathematics All Grades,All Students,430,114,26.5,24.4,49.1,24.7,<= 5.0,20240903
2024,01,Allegany,1302,Mt. Savage Elementary,Mathematics 03,All Students,38,21,55.3,10.5,34.2,50.0,5.3,20240903
2024,01,Allegany,1302,Mt. Savage Elementary,Mathematics 04,All Students,38,13,34.2,18.4,47.4,28.9,5.3,20240903
2024,01,Allegany,1302,Mt. Savage Elementary,Mathematics 05,All Students,32,6,18.8,6.3,75.0,18.8,<= 5.0,20240903
2024,01,Allegany,1302,Mt. Savage Elementary, Mathematics All Grades,All Students,108,40,37.0,12.0,50.9,33.3,<= 5.0,20240903
2024,01,Allegany,2404,Mountain Ridge High School,Algebra 1  ,All Students,290,*,<= 5.0,25.9,70.0,<= 5.0,<= 5.0,20240903
2024,01,Allegany,2404,Mountain Ridge High School,Algebra 2  ,All Students,*,*,*,*,*,*,*,20240903
2024,01,Allegany,2404,Mountain Ridge High School,Geometry  ,All Students,65,16,24.6,13.8,61.5,24.6,<= 5.0,20240903
2024,01,Allegany,2404,Mountain Ridge High School, Mathematics All Grades,All Students,356,29,8.1,23.6,68.3,8.1,<= 5.0,20240903
2024,01,Allegany,2801,Beall Elementary,Mathematics 03,All Students,59,29,49.2,11.9,39.0,42.4,6.8,20240903
2024,01,Allegany,2801,Beall Elementary,Mathematics 04,All Students,67,36,53.7,17.9,28.4,44.8,9.0,20240903
2024,01,Allegany,2801,Beall Elementary,Mathematics 05,All Students,54,27,50.0,11.1,38.9,48.1,<= 5.0,20240903
2024,01,Allegany,2801,Beall Elementary, Mathematics All Grades,All Students,180,92,51.1,13.9,35.0,45.0,6.1,20240903
