school_system,school_name,assessment,x2023,x2024
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,49.5,50.7
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,52.0,53.9
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,40.0,41.9
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,64.6,62.6
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,43.2,45.5
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,64.5,64.8
CECIL,ALL CECIL SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,47.4,44.8
CHARLES,ALL CHARLES SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,39.7,39.2
DORCHESTER,ALL DORCHESTER SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,32.3,33.7
FREDERICK,ALL FREDERICK SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,59.7,60.0
GARRETT,ALL GARRETT SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,50.9,50.1
HARFORD,ALL HARFORD SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,55.2,56.7
HOWARD,ALL HOWARD SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,61.2,63.0
KENT,ALL KENT SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,42.1,41.2
MONTGOMERY,ALL MONTGOMERY SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,54.4,55.3
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,38.7,36.1
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,60.4,58.5
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,54.8,54.9
SOMERSET,ALL SOMERSET SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,31.4,30.4
TALBOT,ALL TALBOT SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,44.4,47.3
WASHINGTON,ALL WASHINGTON SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,53.1,53.0
WICOMICO,ALL WICOMICO SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,36.9,37.6
WORCESTER,ALL WORCESTER SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,68.8,69.4
BALTIMORE CITY,ALL BALTIMORE CITY SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,26.0,27.7
SEED,ALL SEED SCHOOLS,ENGLISH LANGUAGE ARTS ALL GRADES,16.3,21.1
