school_system,school_name,assessment,x2023,x2024
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 03,48.3,51.0
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 04,48.6,58.5
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 05,43.3,46.0
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 06,53.4,47.0
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 07,51.3,49.9
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 08,50.2,53.8
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 10,50.8,48.8
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,46.7,52.0
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,49.1,51.1
ALLEGANY,ALL ALLEGANY SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,51.6,50.3
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 03,51.1,50.5
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 04,53.6,55.9
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 05,46.8,50.3
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 06,50.7,53.1
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 07,49.5,50.1
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 08,52.3,53.2
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 10,59.6,63.2
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,50.5,52.3
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,50.7,52.2
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,50.8,52.2
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 03,43.9,43.7
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 04,44.4,47.2
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 05,38.9,41.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 06,38.1,37.4
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 07,36.1,39.5
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 08,35.2,35.8
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 10,42.6,47.5
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,42.4,44.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,39.4,40.8
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,36.4,37.5
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 03,64.4,63.2
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 04,62.7,63.5
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 05,50.5,57.2
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 06,63.5,59.5
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 07,59.8,59.0
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 08,67.1,61.3
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 10,81.6,72.1
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,59.2,61.2
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,61.4,60.6
CALVERT,ALL CALVERT SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,63.5,59.9
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 03,46.5,38.0
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 04,43.7,47.6
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 05,42.7,39.3
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 06,43.3,48.4
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 07,39.7,46.1
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 08,40.4,36.9
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 10,45.4,59.7
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 3-5,44.2,41.5
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 3-8,42.7,42.6
CAROLINE,ALL CAROLINE SCHOOLS,ENGLISH LANGUAGE ARTS 6-8,41.1,43.8
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 03,62.8,60.6
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 04,66.4,64.2
CARROLL,ALL CARROLL SCHOOLS,ENGLISH LANGUAGE ARTS 05,56.1,55.7
