school_system,school_name,assessment,x2023,x2024
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS ALL GRADES,23.6,25.5
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS ALL GRADES,25.8,27.6
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS ALL GRADES,17.6,19.3
CALVERT,ALL CALVERT SCHOOLS,MATHEMATICS ALL GRADES,28.9,32.8
CAROLINE,ALL CAROLINE SCHOOLS,MATHEMATICS ALL GRADES,15.8,19.7
CARROLL,ALL CARROLL SCHOOLS,MATHEMATICS ALL GRADES,37.2,37.7
CECIL,ALL CECIL SCHOOLS,MATHEMATICS ALL GRADES,19.7,19.2
CHARLES,ALL CHARLES SCHOOLS,MATHEMATICS ALL GRADES,16.3,15.0
DORCHESTER,ALL DORCHESTER SCHOOLS,MATHEMATICS ALL GRADES,11.3,12.3
FREDERICK,ALL FREDERICK SCHOOLS,MATHEMATICS ALL GRADES,31.4,32.1
GARRETT,ALL GARRETT SCHOOLS,MATHEMATICS ALL GRADES,28.1,28.5
HARFORD,ALL HARFORD SCHOOLS,MATHEMATICS ALL GRADES,24.6,24.9
HOWARD,ALL HOWARD SCHOOLS,MATHEMATICS ALL GRADES,39.5,41.1
KENT,ALL KENT SCHOOLS,MATHEMATICS ALL GRADES,12.3,12.6
MONTGOMERY,ALL MONTGOMERY SCHOOLS,MATHEMATICS ALL GRADES,32.8,33.4
PRINCE GEORGE'S,ALL PRINCE GEORGE'S SCHOOLS,MATHEMATICS ALL GRADES,10.7,10.8
QUEEN ANNE'S,ALL QUEEN ANNE'S SCHOOLS,MATHEMATICS ALL GRADES,29.8,28.7
SAINT MARY'S,ALL SAINT MARY'S SCHOOLS,MATHEMATICS ALL GRADES,27.5,29.1
SOMERSET,ALL SOMERSET SCHOOLS,MATHEMATICS ALL GRADES,11.1,9.8
TALBOT,ALL TALBOT SCHOOLS,MATHEMATICS ALL GRADES,17.0,18.3
WASHINGTON,ALL WASHINGTON SCHOOLS,MATHEMATICS ALL GRADES,24.9,25.6
WICOMICO,ALL WICOMICO SCHOOLS,MATHEMATICS ALL GRADES,20.9,20.0
WORCESTER,ALL WORCESTER SCHOOLS,MATHEMATICS ALL GRADES,39.4,39.3
BALTIMORE CITY,ALL BALTIMORE CITY SCHOOLS,MATHEMATICS ALL GRADES,8.8,10.2
SEED,ALL SEED SCHOOLS,MATHEMATICS ALL GRADES,<= 5.0,<= 5.0
