school_system,school_name,assessment,x2023,x2024
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 03,41.0,45.0
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 04,35.6,39.3
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 05,31.5,30.6
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 06,21.7,21.6
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 07,22.1,23.7
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 08,6.1,6.1
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 3-5,36.0,38.1
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 3-8,27.6,28.9
ALLEGANY,ALL ALLEGANY SCHOOLS,MATHEMATICS 6-8,17.9,18.5
ALLEGANY,ALL ALLEGANY SCHOOLS,ALGEBRA 1,25.1,16.0
ALLEGANY,ALL ALLEGANY SCHOOLS,ALGEBRA 2,6.1,37.5
ALLEGANY,ALL ALLEGANY SCHOOLS,GEOMETRY,9.1,28.4
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 03,39.4,40.0
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 04,32.9,33.6
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 05,25.6,28.5
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 06,19.9,21.7
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 07,22.5,24.2
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 08,6.7,9.0
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 3-5,32.6,34.0
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 3-8,25.6,27.1
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,MATHEMATICS 6-8,17.6,19.4
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,ALGEBRA 1,27.3,30.3
ANNE ARUNDEL,ALL ANNE ARUNDEL SCHOOLS,GEOMETRY,48.9,34.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 03,35.3,35.5
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 04,29.2,30.1
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 05,25.8,26.1
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 06,13.8,15.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 07,<= 5.0,<= 5.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 08,<= 5.0,<= 5.0
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 3-5,30.1,30.5
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 3-8,20.4,20.8
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,MATHEMATICS 6-8,7.2,7.8
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ALGEBRA 1,7.4,15.1
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,ALGEBRA 2,21.7,22.2
BALTIMORE COUNTY,ALL BALTIMORE COUNTY SCHOOLS,GEOMETRY,13.7,13.1
