"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"1","A. Mario Loiederman Middle","English",37.3859813084112,2023,15,"Montgomery",787," English Language Arts All Grades","All Students","928","306",33,"18.0","49.0","31.6","<= 5.0",20241015,-4.38598130841121,"-8579470.151","4731035.5582","2275","Montgomery                                        ","15.268","12701 GOODHILL ROAD","SILVER SPRING","MD","20906","6-8","Middle","ZCTA5 20906","B19301_001",43855,2171
"2","Aberdeen High","English",33.3,2023,12,"Harford",270," English Language Arts All Grades","All Students","392","204",52,"7.1","40.8","42.3","9.7",20241015,18.7,"-8479327.9093","4795914.6267","2232","Harford                                           ","12.058","251 PARADISE ROAD","ABERDEEN","MD","21001","9-12","High","ZCTA5 21001","B19301_001",40698,2393
"3","Aberdeen Middle","English",28.1577228596646,2023,12,"Harford",265," English Language Arts All Grades","All Students","1037","342",33,"14.9","52.1","30.9","<= 5.0",20241015,4.84227714033539,"-8478596.3742","4795770.8767","1721","Harford                                           ","12.006","111 MOUNT ROYAL AVENUE","ABERDEEN","MD","21001","6-8","Middle","ZCTA5 21001","B19301_001",40698,2393
"4","Abingdon Elementary","English",47.4801061007958,2023,12,"Harford",123," English Language Arts All Grades","All Students","295","170",57.6,"6.1","36.3","49.5","8.1",20241015,10.1198938992042,"-8496487.5503","4790292.5737","1871","Harford                                           ","12.049","3001 S. TOLLGATE ROAD","ABINGDON","MD","21009","PreK-5","Elementary","ZCTA5 21009","B19301_001",50399,2749
"5","Accident Elementary","English",53.5821428571429,2023,11,"Garrett",1501," English Language Arts All Grades","All Students","101","58",57.4,"<= 5.0","39.6","53.5","<= 5.0",20241015,3.81785714285714,"-8828799.6051","4811777.2151","1725","Garrett                                           ","11.013","534 ACCIDENT BITTINGER ROAD P.O. BOX 260","ACCIDENT","MD","21520","PreK-5","Elementary","ZCTA5 21520","B19301_001",41376,17036
"6","Albert Einstein High","English",45.1,2023,15,"Montgomery",789," English Language Arts All Grades","All Students","554","165",29.8,"12.6","57.6","28.7","<= 5.0",20241015,-15.3,"-8579072.8183","4727290.4903","2213","Montgomery                                        ","15.031","11135 NEWPORT MILL ROAD","KENSINGTON","MD","20895","9-12","High","ZCTA5 20895","B19301_001",80692,4734
"7","Allegany High","English",41.9,2023,1,"Allegany",606," English Language Arts All Grades","All Students","237","147",62,"<= 5.0","33.8","54.0","8.0",20241015,20.1,"-8771485.4174","4816032.1774","1467","Allegany                                          ","01.038","900 SETON DRIVE","CUMBERLAND","MD","21502","9-12","High","ZCTA5 21502","B19301_001",30485,1296
"8","Allenwood Elementary","English",14.8582644628099,2023,16,"Prince George's",632," English Language Arts All Grades","All Students","154","51",33.1,"16.2","50.6","30.5","<= 5.0",20241015,18.2417355371901,"-8563825.0303","4693506.1299","1921","Prince George's                                   ","16.205","6300 HARLEY LANE","TEMPLE HILLS","MD","20748","PreK-5","Elementary","ZCTA5 20748","B19301_001",40547,2000
"9","Andrew Jackson Academy","English",11.0752212389381,2023,16,"Prince George's",645," English Language Arts All Grades","All Students","259","37",14.3,"24.7","61.0","14.3","<= 5.0",20241015,3.22477876106195,"-8561390.8312","4698955.757","2312","Prince George's                                   ","16.197","3500 REGENCY PARKWAY","FORESTVILLE","MD","20747","PreK-8","PreK-8","ZCTA5 20747","B19301_001",38921,2062
"10","Annapolis Elementary","English",25.4055555555556,2023,2,"Anne Arundel",4092," English Language Arts All Grades","All Students","77","27",35.1,"15.6","49.4","32.5","<= 5.0",20241015,9.69444444444445,"-8514574.6733","4718312.8432","2575","Anne Arundel                                      ","02.034","180 GREEN STREET","ANNAPOLIS","MD","21401","PreK-5","Elementary","ZCTA5 21401","B19301_001",78167,6474
