"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,15,"Montgomery",410,"Bradley Hills Elementary"," Mathematics All Grades","All Students","233","194",83.3,"<= 5.0","15.5","65.2","18.0",20241015,"-8584749.9636","4721645.2064","2149","Montgomery                                        ","15.145","8701 HARTSDALE AVENUE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,16,"Prince George's",2010,"Glenarden Woods Elementary"," Mathematics All Grades","All Students","345","287",83.2,"<= 5.0","16.8","69.9","13.3",20241015,"-8557028.7157","4712743.5058","1946","Prince George's                                   ","16.239","7801 GLENARDEN PARKWAY","LANHAM","MD","20706","2-5","Elementary","ZCTA5 20706","B19301_001",37413,1939
2023,3,"Baltimore County",925,"West Towson Elementary"," Mathematics All Grades","All Students","185","152",82.2,"<= 5.0","16.2","69.7","12.4",20241015,"-8530879.235","4779744.851","2249","Baltimore County                                  ","03.215","6914 CHARLES STREET","TOWSON","MD","21204","K-5","Elementary","ZCTA5 21204","B19301_001",67752,5399
2023,15,"Montgomery",604,"Carderock Springs Elementary"," Mathematics All Grades","All Students","157","129",82.2,"<= 5.0","15.9","68.8","13.4",20241015,"-8590715.0903","4719244.3566","2089","Montgomery                                        ","15.243","7401 PERSIMMON TREE LANE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,15,"Montgomery",238,"Cold Spring Elementary"," Mathematics All Grades","All Students","234","192",82.1,"<= 5.0","15.8","61.1","20.9",20241015,"-8592617.8806","4730153.5254","2220","Montgomery                                        ","15.007","9201 FALLS CHAPEL WAY","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,23,"Worcester",1001,"Ocean City Elementary"," Mathematics All Grades","All Students","177","143",80.8,"<= 5.0","15.3","65.5","15.3",20241015,"-8360955.6758","4628547.6638","2523","Worcester                                         ","23.006","12828 CENTER DRIVE","OCEAN CITY","MD","21842","PreK-4","Elementary","ZCTA5 21842","B19301_001",72168,11300
2023,3,"Baltimore County",811,"Pinewood Elementary"," Mathematics All Grades","All Students","253","202",79.8,"<= 5.0","18.2","64.4","15.4",20241015,"-8531356.9405","4785538.8175","2411","Baltimore County                                  ","03.131","200 RICKSWOOD ROAD","TIMONIUM","MD","21093","PreK-5","Elementary","ZCTA5 21093","B19301_001",66680,3562
2023,3,"Baltimore County",1107,"Chapel Hill Elementary"," Mathematics All Grades","All Students","307","244",79.5,"<= 5.0","17.3","68.4","11.1",20241015,"-8508773.5024","4779259.1262","1481","Baltimore County                                  ","03.067","5200 JOPPA ROAD","PERRY HALL","MD","21128","K-5","Elementary","ZCTA5 21128","B19301_001",54332,4115
2023,13,"Howard",213,"Worthington Elementary"," Mathematics All Grades","All Students","216","171",79.2,"<= 5.0","19.4","62.0","17.1",20241015,"-8548818.0459","4756805.1587","1805","Howard                                            ","13.010","4570 ROUND HILL ROAD","ELLICOTT CITY","MD","21043","K-5","Elementary","ZCTA5 21043","B19301_001",64911,2548
2023,15,"Montgomery",420,"Bannockburn Elementary"," Mathematics All Grades","All Students","225","177",78.7,"<= 5.0","20.0","58.7","20.0",20241015,"-8586989.1356","4718030.6957","2103","Montgomery                                        ","15.204","6520 DALROY LANE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,3,"Baltimore County",809,"Riderwood Elementary"," Mathematics All Grades","All Students","185","143",77.3,"<= 5.0","18.9","67.0","10.3",20241015,"-8532577.0527","4781145.8406","1553","Baltimore County                                  ","03.189","1711 LANDRAKE ROAD","BALTIMORE","MD","21204","K-5","Elementary","ZCTA5 21204","B19301_001",67752,5399
2023,2,"Anne Arundel",2072,"Benfield Elementary"," Mathematics All Grades","All Students","197","151",76.6,"<= 5.0","18.8","71.6","5.1",20241015,"-8525858.8947","4733898.6489","2608","Anne Arundel                                      ","02.029","365 LYNWOOD DRIVE","SEVERNA PARK","MD","21146","PreK-5","Elementary","ZCTA5 21146","B19301_001",72385,4054
2023,15,"Montgomery",603,"Seven Locks Elementary"," Mathematics All Grades","All Students","211","161",76.3,"<= 5.0","20.9","60.7","15.6",20241015,"-8589574.1842","4723503.0351","2077","Montgomery                                        ","15.253","9500 SEVEN LOCKS ROAD","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,3,"Baltimore County",501,"Fifth District Elementary"," Mathematics All Grades","All Students","147","112",76.2,"<= 5.0","22.4","69.4","6.8",20241015,"-8546810.1394","4808108.8406","1554","Baltimore County                                  ","03.178","3725 MOUNT CARMEL ROAD","UPPERCO","MD","21155","K-5","Elementary","ZCTA5 21155","B19301_001",56199,11394
2023,15,"Montgomery",235,"Wayside Elementary"," Mathematics All Grades","All Students","237","180",75.9,"<= 5.0","21.1","55.7","20.3",20241015,"-8594554.6128","4728491.5264","2499","Montgomery                                        ","15.033","10011 GLEN RD","ROCKVILLE","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,15,"Montgomery",607,"Bells Mill Elementary"," Mathematics All Grades","All Students","311","236",75.9,"<= 5.0","22.2","59.5","16.4",20241015,"-8590381.8016","4726290.0374","2118","Montgomery                                        ","15.185","8225 BELLS MILL RD","POTOMAC","MD","20854","HS-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,16,"Prince George's",712,"Heather Hills Elementary"," Mathematics All Grades","All Students","272","205",75.4,"<= 5.0","22.4","69.5","5.9",20241015,"-8541740.6765","4714768.6981","1999","Prince George's                                   ","16.132","12605 HEMING LANE","BOWIE","MD","20716","2-5","Elementary","ZCTA5 20716","B19301_001",57741,3370
2023,15,"Montgomery",408,"Westbrook Elementary"," Mathematics All Grades","All Students","259","194",74.9,"5.8","19.3","59.8","15.1",20241015,"-8583024.8713","4715697.3223","2519","Montgomery                                        ","15.017","5110 ALLAN TERRACE","BETHESDA","MD","20816","K-5","Elementary","ZCTA5 20816","B19301_001",116348,7903
2023,15,"Montgomery",422,"Wyngate Elementary"," Mathematics All Grades","All Students","392","293",74.7,"<= 5.0","22.7","59.7","15.1",20241015,"-8585873.185","4723008.6214","2501","Montgomery                                        ","15.075","9300 WADSWORTH DRIVE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,23,"Worcester",205,"Snow Hill Elementary"," Mathematics All Grades","All Students","79","59",74.7,"6.3","19.0","59.5","15.2",20241015,"-8393012.8748","4602790.2294","1378","Worcester                                         ","23.008","515 COULBOURNE LANE","SNOW HILL","MD","21863","PreK-3","Elementary","ZCTA5 21863","B19301_001",33766,4109
2023,13,"Howard",215,"Waverly Elementary"," Mathematics All Grades","All Students","462","344",74.5,"<= 5.0","23.2","59.1","15.4",20241015,"-8556981.97","4765462.7962","1841","Howard                                            ","13.043","10220 WETHERBURN ROAD","ELLICOTT CITY","MD","21042","PreK-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",601,"Potomac Elementary"," Mathematics All Grades","All Students","235","175",74.5,"<= 5.0","22.1","57.0","17.4",20241015,"-8595338.9314","4724780.4127","2486","Montgomery                                        ","15.110","10311 RIVER ROAD","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,13,"Howard",523,"Pointers Run Elementary"," Mathematics All Grades","All Students","406","302",74.4,"<= 5.0","22.7","58.6","15.8",20241015,"-8563405.757","4749050.9267","1842","Howard                                            ","13.044","6600 SOUTH TROTTER RD","CLARKSVILLE","MD","21029","PreK-5","Elementary","ZCTA5 21029","B19301_001",90259,5999
2023,2,"Anne Arundel",2432,"Shipley's Choice Elementary"," Mathematics All Grades","All Students","185","137",74.1,"<= 5.0","24.9","67.6","6.5",20241015,"-8528298.6499","4736264.8222","2567","Anne Arundel                                      ","02.049","310 GOVERNOR STONE PARKWAY","MILLERSVILLE","MD","21108","K-5","Elementary","ZCTA5 21108","B19301_001",62037,3985
2023,3,"Baltimore County",907,"Rodgers Forge Elementary"," Mathematics All Grades","All Students","220","163",74.1,"<= 5.0","23.2","65.5","8.6",20241015,"-8528729.585","4776412.1298","1487","Baltimore County                                  ","03.042","250 DUMBARTON ROAD","BALTIMORE","MD","21212","K-5","Elementary","ZCTA5 21212","B19301_001",61277,5442
2023,3,"Baltimore County",805,"Timonium Elementary"," Mathematics All Grades","All Students","218","161",73.9,"<= 5.0","24.3","58.3","15.6",20241015,"-8528436.3128","4784673.5396","2321","Baltimore County                                  ","03.169","2001 EASTRIDGE ROAD","TIMONIUM","MD","21093","K-5","Elementary","ZCTA5 21093","B19301_001",66680,3562
2023,13,"Howard",521,"Clarksville Middle"," Mathematics All Grades","All Students","651","480",73.7,"<= 5.0","21.8","56.1","17.7",20241015,"-8563079.8147","4749000.4521","1852","Howard                                            ","13.031","6535 S. TROTTER ROAD","CLARKSVILLE","MD","21029","6-8","Middle","ZCTA5 21029","B19301_001",90259,5999
2023,10,"Frederick",717,"Sugarloaf Elementary"," Mathematics All Grades","All Students","449","330",73.5,"<= 5.0","22.0","62.8","10.7",20241015,"-8612241.6436","4768668.9915","1469","Frederick                                         ","10.078","3400 STONE BARN DR","FREDERICK","MD","21704","K-5","Elementary","ZCTA5 21704","B19301_001",60724,4153
2023,15,"Montgomery",653,"Stone Mill Elementary"," Mathematics All Grades","All Students","269","193",71.7,"<= 5.0","24.9","60.2","11.5",20241015,"-8595487.2189","4734802.9619","2140","Montgomery                                        ","15.157","14323 STONE BRIDGE VIEW DRIVE","GAITHERSBURG","MD","20879","K-5","Elementary","ZCTA5 20879","B19301_001",45736,3705
2023,15,"Montgomery",403,"Chevy Chase Elementary"," Mathematics All Grades","All Students","440","315",71.6,"<= 5.0","24.5","55.9","15.7",20241015,"-8580528.4187","4718595.108","2214","Montgomery                                        ","15.032","4015 ROSEMARY STREET","CHEVY CHASE","MD","20815","3-6","Elementary","ZCTA5 20815","B19301_001",131556,7502
2023,15,"Montgomery",159,"Rachel Carson Elementary"," Mathematics All Grades","All Students","354","253",71.5,"5.1","23.4","62.1","9.3",20241015,"-8599090.7223","4738438.2834","2134","Montgomery                                        ","15.163","100 TSCHIFFELY SQUARE ROAD","GAITHERSBURG","MD","20878","PreK-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,13,"Howard",306,"Triadelphia Ridge Elementary"," Mathematics All Grades","All Students","327","233",71.3,"<= 5.0","24.8","58.4","12.8",20241015,"-8569334.6577","4759895.5207","1828","Howard                                            ","13.073","13400 TRIDELPHIA ROAD","ELLICOTT CITY","MD","21042","K-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,13,"Howard",406,"Bushy Park Elementary"," Mathematics All Grades","All Students","306","218",71.2,"<= 5.0","26.5","55.9","15.4",20241015,"-8574084.3147","4764976.6453","2241","Howard                                            ","13.085","14601 CARRS MILL ROAD","GLENWOOD","MD","21738","PreK-5","Elementary","ZCTA5 21738","B19301_001",86408,10544
2023,3,"Baltimore County",801,"Sparks Elementary"," Mathematics All Grades","All Students","240","170",70.8,"<= 5.0","27.5","62.5","8.3",20241015,"-8534003.8106","4799600.324","1606","Baltimore County                                  ","03.117","601 BELFAST ROAD","SPARKS","MD","21152","K-5","Elementary","ZCTA5 21152","B19301_001",68763,9892
2023,23,"Worcester",102,"Pocomoke Elementary"," Mathematics All Grades","All Students","96","68",70.8,"8.3","20.8","55.2","15.6",20241015,"-8411104.7517","4587516.3677","1382","Worcester                                         ","23.002","2119 POCOMOKE BELTWAY","POCOMOKE CITY","MD","21851","PreK-3","Elementary","ZCTA5 21851","B19301_001",33508,4097
