"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,2,"Anne Arundel",2072,"Benfield Elementary"," English Language Arts All Grades","All Students","197","182",92.4,"<= 5.0","6.6","48.2","44.2",20241015,"-8525858.8947","4733898.6489","2608","Anne Arundel                                      ","02.029","365 LYNWOOD DRIVE","SEVERNA PARK","MD","21146","PreK-5","Elementary","ZCTA5 21146","B19301_001",72385,4054
2023,16,"Prince George's",2010,"Glenarden Woods Elementary"," English Language Arts All Grades","All Students","345","318",92.2,"<= 5.0","7.8","73.9","18.3",20241015,"-8557028.7157","4712743.5058","1946","Prince George's                                   ","16.239","7801 GLENARDEN PARKWAY","LANHAM","MD","20706","2-5","Elementary","ZCTA5 20706","B19301_001",37413,1939
2023,23,"Worcester",1001,"Ocean City Elementary"," English Language Arts All Grades","All Students","172","157",91.3,"<= 5.0","7.6","63.4","27.9",20241015,"-8360955.6758","4628547.6638","2523","Worcester                                         ","23.006","12828 CENTER DRIVE","OCEAN CITY","MD","21842","PreK-4","Elementary","ZCTA5 21842","B19301_001",72168,11300
2023,3,"Baltimore County",809,"Riderwood Elementary"," English Language Arts All Grades","All Students","181","165",91.2,"<= 5.0","8.8","58.6","32.6",20241015,"-8532577.0527","4781145.8406","1553","Baltimore County                                  ","03.189","1711 LANDRAKE ROAD","BALTIMORE","MD","21204","K-5","Elementary","ZCTA5 21204","B19301_001",67752,5399
2023,3,"Baltimore County",925,"West Towson Elementary"," English Language Arts All Grades","All Students","184","167",90.8,"<= 5.0","8.7","67.4","23.4",20241015,"-8530879.235","4779744.851","2249","Baltimore County                                  ","03.215","6914 CHARLES STREET","TOWSON","MD","21204","K-5","Elementary","ZCTA5 21204","B19301_001",67752,5399
2023,15,"Montgomery",235,"Wayside Elementary"," English Language Arts All Grades","All Students","234","209",89.3,"<= 5.0","9.4","64.1","25.2",20241015,"-8594554.6128","4728491.5264","2499","Montgomery                                        ","15.033","10011 GLEN RD","ROCKVILLE","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,15,"Montgomery",410,"Bradley Hills Elementary"," English Language Arts All Grades","All Students","232","207",89.2,"<= 5.0","10.3","78.4","10.8",20241015,"-8584749.9636","4721645.2064","2149","Montgomery                                        ","15.145","8701 HARTSDALE AVENUE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,15,"Montgomery",604,"Carderock Springs Elementary"," English Language Arts All Grades","All Students","155","138",89,"<= 5.0","11.0","72.9","16.1",20241015,"-8590715.0903","4719244.3566","2089","Montgomery                                        ","15.243","7401 PERSIMMON TREE LANE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,2,"Anne Arundel",2202,"Severna Park Elementary"," English Language Arts All Grades","All Students","199","177",88.9,"<= 5.0","11.1","66.3","22.6",20241015,"-8521336.4163","4732038.3323","2560","Anne Arundel                                      ","02.052","6 RIGGS AVENUE","SEVERNA PARK","MD","21146","K-5","Elementary","ZCTA5 21146","B19301_001",72385,4054
2023,4,"Calvert",314,"Northern High"," English Language Arts All Grades","All Students","413","367",88.9,"<= 5.0","10.9","60.8","28.1",20241015,"-8532734.0021","4676727.2726","1534","Calvert                                           ","04.005","2950 CHANEYVILLE ROAD","OWINGS","MD","20736","9-12","High","ZCTA5 20736","B19301_001",61359,6233
2023,4,"Calvert",314,"Northern High"," English Language Arts All Grades","All Students","413","367",88.9,"<= 5.0","10.9","60.8","28.1",20241015,"-8827363.4759","4817325.0009","1730","Garrett                                           ","11.014","86 PRIDE PARKWAY","ACCIDENT","MD","21520","9-12","High","ZCTA5 21520","B19301_001",41376,17036
2023,10,"Frederick",713,"Urbana High"," English Language Arts All Grades","All Students","476","422",88.7,"<= 5.0","11.1","49.2","39.5",20241015,"-8609404.494","4768568.4067","1751","Frederick                                         ","10.048","3471 CAMPUS DRIVE","IJAMSVILLE","MD","21754","9-12","High","ZCTA5 21754","B19301_001",72806,7577
2023,15,"Montgomery",428,"Thomas W. Pyle Middle"," English Language Arts All Grades","All Students","1218","1073",88.1,"<= 5.0","11.7","76.9","11.2",20241015,"-8586071.1916","4720086.7555","2187","Montgomery                                        ","15.175","6311 WILSON LANE","BETHESDA","MD","20817","6-8","Middle","ZCTA5 20817","B19301_001",121150,8562
2023,30,"Baltimore City",403,"Baltimore Polytechnic Institute"," English Language Arts All Grades","All Students","370","326",88.1,"<= 5.0","11.6","80.3","7.8",20241015,"-8531983.6738","4771417.5361","2662","Baltimore City                                    ","30.185","1400 W COLD SPRING LANE","BALTIMORE","MD","21209","9-12","High","ZCTA5 21209","B19301_001",51800,5610
2023,16,"Prince George's",712,"Heather Hills Elementary"," English Language Arts All Grades","All Students","272","239",87.9,"<= 5.0","11.4","72.4","15.4",20241015,"-8541740.6765","4714768.6981","1999","Prince George's                                   ","16.132","12605 HEMING LANE","BOWIE","MD","20716","2-5","Elementary","ZCTA5 20716","B19301_001",57741,3370
2023,15,"Montgomery",427,"Walt Whitman High"," English Language Arts All Grades","All Students","528","463",87.7,"<= 5.0","11.6","67.2","20.5",20241015,"-8585814.0097","4719051.7002","2498","Montgomery                                        ","15.134","7100 WHITTIER BOULEVARD","BETHESDA","MD","20817","9-12","High","ZCTA5 20817","B19301_001",121150,8562
2023,15,"Montgomery",420,"Bannockburn Elementary"," English Language Arts All Grades","All Students","222","194",87.4,"<= 5.0","12.6","62.2","25.2",20241015,"-8586989.1356","4718030.6957","2103","Montgomery                                        ","15.204","6520 DALROY LANE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,15,"Montgomery",603,"Seven Locks Elementary"," English Language Arts All Grades","All Students","206","180",87.4,"<= 5.0","12.1","62.1","25.2",20241015,"-8589574.1842","4723503.0351","2077","Montgomery                                        ","15.253","9500 SEVEN LOCKS ROAD","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,13,"Howard",213,"Worthington Elementary"," English Language Arts All Grades","All Students","216","187",86.6,"<= 5.0","13.4","60.2","26.4",20241015,"-8548818.0459","4756805.1587","1805","Howard                                            ","13.010","4570 ROUND HILL ROAD","ELLICOTT CITY","MD","21043","K-5","Elementary","ZCTA5 21043","B19301_001",64911,2548
2023,15,"Montgomery",234,"Thomas S. Wootton High"," English Language Arts All Grades","All Students","491","423",86.2,"<= 5.0","12.8","70.1","16.1",20241015,"-8591980.8","4732703.3604","2517","Montgomery                                        ","15.023","2100 WOOTTON PARKWAY","ROCKVILLE","MD","20850","9-12","High","ZCTA5 20850","B19301_001",67423,3080
2023,2,"Anne Arundel",2013,"Severna Park High"," English Language Arts All Grades","All Students","470","404",86,"<= 5.0","13.6","61.9","24.0",20241015,"-8522664.5216","4732744.0684","2591","Anne Arundel                                      ","02.005","60 ROBINSON ROAD","SEVERNA PARK","MD","21146","9-12","High","ZCTA5 21146","B19301_001",72385,4054
2023,3,"Baltimore County",811,"Pinewood Elementary"," English Language Arts All Grades","All Students","253","217",85.8,"<= 5.0","14.2","60.5","25.3",20241015,"-8531356.9405","4785538.8175","2411","Baltimore County                                  ","03.131","200 RICKSWOOD ROAD","TIMONIUM","MD","21093","PreK-5","Elementary","ZCTA5 21093","B19301_001",66680,3562
2023,6,"Carroll",510,"Century High"," English Language Arts All Grades","All Students","302","258",85.4,"<= 5.0","13.2","59.9","25.5",20241015,"-8570614.6837","4782688.7035","1671","Carroll                                           ","06.048","355 RONSDALE RD","SYKESVILLE","MD","21784","9-12","High","ZCTA5 21784","B19301_001",57412,2069
2023,15,"Montgomery",607,"Bells Mill Elementary"," English Language Arts All Grades","All Students","310","263",84.8,"<= 5.0","14.8","64.2","20.6",20241015,"-8590381.8016","4726290.0374","2118","Montgomery                                        ","15.185","8225 BELLS MILL RD","POTOMAC","MD","20854","HS-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,13,"Howard",524,"River Hill High"," English Language Arts All Grades","All Students","365","308",84.4,"<= 5.0","15.3","64.9","19.5",20241015,"-8563684.8621","4752521.1835","1838","Howard                                            ","13.053","12101 ROUTE 108","CLARKSVILLE","MD","21029","9-12","High","ZCTA5 21029","B19301_001",90259,5999
2023,2,"Anne Arundel",2432,"Shipley's Choice Elementary"," English Language Arts All Grades","All Students","185","155",83.8,"<= 5.0","15.7","67.0","16.8",20241015,"-8528298.6499","4736264.8222","2567","Anne Arundel                                      ","02.049","310 GOVERNOR STONE PARKWAY","MILLERSVILLE","MD","21108","K-5","Elementary","ZCTA5 21108","B19301_001",62037,3985
2023,3,"Baltimore County",801,"Sparks Elementary"," English Language Arts All Grades","All Students","239","200",83.7,"<= 5.0","15.9","65.3","18.4",20241015,"-8534003.8106","4799600.324","1606","Baltimore County                                  ","03.117","601 BELFAST ROAD","SPARKS","MD","21152","K-5","Elementary","ZCTA5 21152","B19301_001",68763,9892
2023,13,"Howard",521,"Clarksville Middle"," English Language Arts All Grades","All Students","648","540",83.3,"<= 5.0","16.2","69.9","13.4",20241015,"-8563079.8147","4749000.4521","1852","Howard                                            ","13.031","6535 S. TROTTER ROAD","CLARKSVILLE","MD","21029","6-8","Middle","ZCTA5 21029","B19301_001",90259,5999
2023,15,"Montgomery",408,"Westbrook Elementary"," English Language Arts All Grades","All Students","247","205",83,"<= 5.0","14.6","58.3","24.7",20241015,"-8583024.8713","4715697.3223","2519","Montgomery                                        ","15.017","5110 ALLAN TERRACE","BETHESDA","MD","20816","K-5","Elementary","ZCTA5 20816","B19301_001",116348,7903
2023,10,"Frederick",920,"Oakdale High"," English Language Arts All Grades","All Students","467","387",82.9,"<= 5.0","16.5","63.0","19.9",20241015,"-8606149.9786","4778375.9204","2180","Frederick                                         ","10.073","5850 EAGLEHEAD DRIVE","IJAMSVILLE","MD","21754","9-12","High","ZCTA5 21754","B19301_001",72806,7577
2023,15,"Montgomery",653,"Stone Mill Elementary"," English Language Arts All Grades","All Students","263","218",82.9,"<= 5.0","15.6","67.7","15.2",20241015,"-8595487.2189","4734802.9619","2140","Montgomery                                        ","15.157","14323 STONE BRIDGE VIEW DRIVE","GAITHERSBURG","MD","20879","K-5","Elementary","ZCTA5 20879","B19301_001",45736,3705
2023,13,"Howard",302,"West Friendship Elementary"," English Language Arts All Grades","All Students","186","154",82.8,"<= 5.0","17.2","69.4","13.4",20241015,"-8565580.9098","4764984.3437","1853","Howard                                            ","13.032","12500 FREDERICK ROAD","WEST FRIENDSHIP","MD","21794","K-5","Elementary","ZCTA5 21794","B19301_001",87308,18574
2023,15,"Montgomery",228,"Herbert Hoover Middle"," English Language Arts All Grades","All Students","925","765",82.7,"<= 5.0","16.2","68.4","14.3",20241015,"-8591469.6712","4728068.9441","2068","Montgomery                                        ","15.241","8810 POSTOAK RD","ROCKVILLE","MD","20854","6-8","Middle","ZCTA5 20854","B19301_001",110500,4957
2023,3,"Baltimore County",1001,"Carroll Manor Elementary"," English Language Arts All Grades","All Students","167","138",82.6,"<= 5.0","17.4","56.9","25.7",20241015,"-8518604.8706","4793170.8759","1562","Baltimore County                                  ","03.161","4434 CARROLL MANOR RD","BALDWIN","MD","21013","K-5","Elementary","ZCTA5 21013","B19301_001",72180,10369
2023,3,"Baltimore County",1001,"Carroll Manor Elementary"," English Language Arts All Grades","All Students","167","138",82.6,"<= 5.0","17.4","56.9","25.7",20241015,"-8623837.5897","4766654.3312","1741","Frederick                                         ","10.066","5624 ADAMSTOWN RD","ADAMSTOWN","MD","21710","PreK-5","Elementary","ZCTA5 21710","B19301_001",65236,5800
2023,2,"Anne Arundel",2043,"Severna Park Middle"," English Language Arts All Grades","All Students","1378","1134",82.3,"<= 5.0","16.3","65.7","16.5",20241015,"-8525485.3238","4734123.9076","2382","Anne Arundel                                      ","02.089","450 JUMPERS HOLE ROAD","SEVERNA PARK","MD","21146","6-8","Middle","ZCTA5 21146","B19301_001",72385,4054
2023,3,"Baltimore County",1002,"Jacksonville Elementary"," English Language Arts All Grades","All Students","254","209",82.3,"<= 5.0","17.3","70.5","11.8",20241015,"-8522584.8464","4795327.5823","1477","Baltimore County                                  ","03.074","3400 HILLENDALE HEIGHTS ROAD","PHOENIX","MD","21131","K-5","Elementary","ZCTA5 21131","B19301_001",80073,10062
2023,15,"Montgomery",238,"Cold Spring Elementary"," English Language Arts All Grades","All Students","232","190",81.9,"<= 5.0","17.2","72.0","9.9",20241015,"-8592617.8806","4730153.5254","2220","Montgomery                                        ","15.007","9201 FALLS CHAPEL WAY","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
2023,3,"Baltimore County",501,"Fifth District Elementary"," English Language Arts All Grades","All Students","147","120",81.6,"<= 5.0","17.0","66.7","15.0",20241015,"-8546810.1394","4808108.8406","1554","Baltimore County                                  ","03.178","3725 MOUNT CARMEL ROAD","UPPERCO","MD","21155","K-5","Elementary","ZCTA5 21155","B19301_001",56199,11394
2023,3,"Baltimore County",1107,"Chapel Hill Elementary"," English Language Arts All Grades","All Students","304","248",81.6,"<= 5.0","17.1","64.1","17.4",20241015,"-8508773.5024","4779259.1262","1481","Baltimore County                                  ","03.067","5200 JOPPA ROAD","PERRY HALL","MD","21128","K-5","Elementary","ZCTA5 21128","B19301_001",54332,4115
2023,3,"Baltimore County",907,"Rodgers Forge Elementary"," English Language Arts All Grades","All Students","220","179",81.4,"<= 5.0","16.8","69.5","11.8",20241015,"-8528729.585","4776412.1298","1487","Baltimore County                                  ","03.042","250 DUMBARTON ROAD","BALTIMORE","MD","21212","K-5","Elementary","ZCTA5 21212","B19301_001",61277,5442
2023,3,"Baltimore County",805,"Timonium Elementary"," English Language Arts All Grades","All Students","218","177",81.2,"<= 5.0","17.0","57.8","23.4",20241015,"-8528436.3128","4784673.5396","2321","Baltimore County                                  ","03.169","2001 EASTRIDGE ROAD","TIMONIUM","MD","21093","K-5","Elementary","ZCTA5 21093","B19301_001",66680,3562
2023,4,"Calvert",113,"Patuxent High"," English Language Arts All Grades","All Students","256","207",80.9,"<= 5.0","18.0","63.3","17.6",20241015,"-8509268.6357","4629700.0961","1704","Calvert                                           ","04.019","12485 SOUTHERN CONNECTOR BLVD.","LUSBY","MD","20657","9-12","High","ZCTA5 20657","B19301_001",51299,4806
2023,6,"Carroll",507,"Liberty High"," English Language Arts All Grades","All Students","257","208",80.9,"<= 5.0","18.3","59.1","21.8",20241015,"-8566344.7324","4781046.8547","1690","Carroll                                           ","06.019","5855 BARTHOLOW RD","SYKESVILLE","MD","21784","9-12","High","ZCTA5 21784","B19301_001",57412,2069
2023,13,"Howard",305,"Manor Woods Elementary"," English Language Arts All Grades","All Students","366","296",80.9,"<= 5.0","17.8","66.9","13.9",20241015,"-8562005.0822","4763306.2441","1837","Howard                                            ","13.052","11575 FREDERICK ROAD","ELLICOTT CITY","MD","21042","K-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",422,"Wyngate Elementary"," English Language Arts All Grades","All Students","385","311",80.8,"<= 5.0","17.9","61.3","19.5",20241015,"-8585873.185","4723008.6214","2501","Montgomery                                        ","15.075","9300 WADSWORTH DRIVE","BETHESDA","MD","20817","K-5","Elementary","ZCTA5 20817","B19301_001",121150,8562
2023,13,"Howard",215,"Waverly Elementary"," English Language Arts All Grades","All Students","455","367",80.7,"<= 5.0","18.2","65.5","15.2",20241015,"-8556981.97","4765462.7962","1841","Howard                                            ","13.043","10220 WETHERBURN ROAD","ELLICOTT CITY","MD","21042","PreK-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,10,"Frederick",717,"Sugarloaf Elementary"," English Language Arts All Grades","All Students","449","362",80.6,"<= 5.0","17.8","65.0","15.6",20241015,"-8612241.6436","4768668.9915","1469","Frederick                                         ","10.078","3400 STONE BARN DR","FREDERICK","MD","21704","K-5","Elementary","ZCTA5 21704","B19301_001",60724,4153
2023,21,"Washington",601,"Boonsboro High"," English Language Arts All Grades","All Students","232","187",80.6,"<= 5.0","16.8","58.6","22.0",20241015,"-8644129.4367","4795884.5309","1429","Washington                                        ","21.001","10 CAMPUS AVENUE","BOONSBORO","MD","21713","9-12","High","ZCTA5 21713","B19301_001",46822,5238
2023,2,"Anne Arundel",2152,"Jones Elementary"," English Language Arts All Grades","All Students","159","128",80.5,"<= 5.0","15.7","56.6","23.9",20241015,"-8519953.7311","4729995.3418","2606","Anne Arundel                                      ","02.094","122 HOYLE LANE","SEVERNA PARK","MD","21146","K-5","Elementary","ZCTA5 21146","B19301_001",72385,4054
2023,10,"Frederick",716,"Urbana Middle"," English Language Arts All Grades","All Students","1136","910",80.1,"<= 5.0","18.1","62.9","17.3",20241015,"-8609059.0804","4768963.3008","2287","Frederick                                         ","10.076","3511 PONTIUS COURT","IJAMSVILLE","MD","21754","6-8","Middle","ZCTA5 21754","B19301_001",72806,7577
2023,13,"Howard",307,"Folly Quarter Middle"," English Language Arts All Grades","All Students","676","540",79.9,"<= 5.0","19.4","69.7","10.2",20241015,"-8569796.275","4759878.0435","1827","Howard                                            ","13.081","13500 TRIDELPHIA ROAD","ELLICOTT CITY","MD","21042","6-8","Middle","ZCTA5 21042","B19301_001",77562,3782
2023,15,"Montgomery",159,"Rachel Carson Elementary"," English Language Arts All Grades","All Students","348","278",79.9,"<= 5.0","17.8","65.8","14.1",20241015,"-8599090.7223","4738438.2834","2134","Montgomery                                        ","15.163","100 TSCHIFFELY SQUARE ROAD","GAITHERSBURG","MD","20878","PreK-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,15,"Montgomery",601,"Potomac Elementary"," English Language Arts All Grades","All Students","234","187",79.9,"<= 5.0","19.7","67.9","12.0",20241015,"-8595338.9314","4724780.4127","2486","Montgomery                                        ","15.110","10311 RIVER ROAD","POTOMAC","MD","20854","K-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
