"","GEOID","NAME","variable","Income_per_cap","moe"
"1","20601","ZCTA5 20601","B19301_001",48341,4156
"2","20602","ZCTA5 20602","B19301_001",43381,2148
"3","20603","ZCTA5 20603","B19301_001",58100,4643
"4","20606","ZCTA5 20606","B19301_001",53510,15304
"5","20607","ZCTA5 20607","B19301_001",54977,4840
"6","20608","ZCTA5 20608","B19301_001",33855,9978
"7","20609","ZCTA5 20609","B19301_001",67379,22840
"8","20611","ZCTA5 20611","B19301_001",50148,8166
"9","20612","ZCTA5 20612","B19301_001",22588,17850
"10","20613","ZCTA5 20613","B19301_001",60879,5333
"11","20615","ZCTA5 20615","B19301_001",84355,27692
"12","20616","ZCTA5 20616","B19301_001",47448,6299
"13","20617","ZCTA5 20617","B19301_001",93692,47173
"14","20618","ZCTA5 20618","B19301_001",49715,10724
"15","20619","ZCTA5 20619","B19301_001",53339,4494
"16","20620","ZCTA5 20620","B19301_001",50479,18301
"17","20621","ZCTA5 20621","B19301_001",60510,13023
"18","20622","ZCTA5 20622","B19301_001",40441,5739
"19","20623","ZCTA5 20623","B19301_001",59477,8386
"20","20624","ZCTA5 20624","B19301_001",42183,5593
"21","20625","ZCTA5 20625","B19301_001",50663,11839
"22","20626","ZCTA5 20626","B19301_001",32195,20762
"23","20628","ZCTA5 20628","B19301_001",55826,9779
"24","20629","ZCTA5 20629","B19301_001",58286,16257
"25","20630","ZCTA5 20630","B19301_001",102114,47459
"26","20632","ZCTA5 20632","B19301_001",51043,22667
"27","20634","ZCTA5 20634","B19301_001",59876,12374
"28","20636","ZCTA5 20636","B19301_001",59897,8532
"29","20637","ZCTA5 20637","B19301_001",59523,9423
"30","20639","ZCTA5 20639","B19301_001",58474,4357
"31","20640","ZCTA5 20640","B19301_001",47075,4845
"32","20645","ZCTA5 20645","B19301_001",93785,40462
"33","20646","ZCTA5 20646","B19301_001",52648,2410
"34","20650","ZCTA5 20650","B19301_001",54721,4307
"35","20653","ZCTA5 20653","B19301_001",48024,4070
"36","20657","ZCTA5 20657","B19301_001",51299,4806
"37","20658","ZCTA5 20658","B19301_001",45299,7936
"38","20659","ZCTA5 20659","B19301_001",48224,3350
"39","20660","ZCTA5 20660","B19301_001",NA,NA
"40","20662","ZCTA5 20662","B19301_001",38313,5427
"41","20664","ZCTA5 20664","B19301_001",46043,8899
"42","20667","ZCTA5 20667","B19301_001",74216,6489
"43","20670","ZCTA5 20670","B19301_001",24011,5567
"44","20674","ZCTA5 20674","B19301_001",51931,23409
"45","20675","ZCTA5 20675","B19301_001",52900,8989
"46","20676","ZCTA5 20676","B19301_001",60352,8546
"47","20677","ZCTA5 20677","B19301_001",56516,8245
"48","20678","ZCTA5 20678","B19301_001",52586,3859
"49","20680","ZCTA5 20680","B19301_001",38291,9963
"50","20684","ZCTA5 20684","B19301_001",73250,8547
"51","20685","ZCTA5 20685","B19301_001",57809,8922
"52","20686","ZCTA5 20686","B19301_001",3652,1336
"53","20687","ZCTA5 20687","B19301_001",56005,32852
"54","20688","ZCTA5 20688","B19301_001",55056,11273
"55","20689","ZCTA5 20689","B19301_001",64525,12877
"56","20690","ZCTA5 20690","B19301_001",62912,8888
"57","20692","ZCTA5 20692","B19301_001",55227,12509
"58","20693","ZCTA5 20693","B19301_001",43481,11760
"59","20695","ZCTA5 20695","B19301_001",51028,5823
"60","20701","ZCTA5 20701","B19301_001",46900,14481
"61","20705","ZCTA5 20705","B19301_001",37857,2319
"62","20706","ZCTA5 20706","B19301_001",37413,1939
"63","20707","ZCTA5 20707","B19301_001",49777,2507
"64","20708","ZCTA5 20708","B19301_001",41425,2886
"65","20710","ZCTA5 20710","B19301_001",25555,2933
"66","20711","ZCTA5 20711","B19301_001",55505,10714
"67","20712","ZCTA5 20712","B19301_001",37327,3989
"68","20714","ZCTA5 20714","B19301_001",42090,5372
"69","20715","ZCTA5 20715","B19301_001",53586,2447
"70","20716","ZCTA5 20716","B19301_001",57741,3370
"71","20720","ZCTA5 20720","B19301_001",61876,3950
"72","20721","ZCTA5 20721","B19301_001",70735,3451
"73","20722","ZCTA5 20722","B19301_001",36094,3213
"74","20723","ZCTA5 20723","B19301_001",58525,3900
"75","20724","ZCTA5 20724","B19301_001",50191,4890
"76","20732","ZCTA5 20732","B19301_001",57462,4072
"77","20733","ZCTA5 20733","B19301_001",59899,8992
"78","20735","ZCTA5 20735","B19301_001",51223,2290
"79","20736","ZCTA5 20736","B19301_001",61359,6233
"80","20737","ZCTA5 20737","B19301_001",35260,7414
"81","20740","ZCTA5 20740","B19301_001",32245,1926
"82","20742","ZCTA5 20742","B19301_001",2720,707
"83","20743","ZCTA5 20743","B19301_001",38295,2299
"84","20744","ZCTA5 20744","B19301_001",51671,2307
"85","20745","ZCTA5 20745","B19301_001",41479,2976
"86","20746","ZCTA5 20746","B19301_001",44864,2744
