"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"1","A. Mario Loiederman Middle","Math",12.8299212598425,2023,15,"Montgomery",787," Mathematics All Grades","All Students","967","*",5,"59.3","35.9","<= 5.0","<= 5.0",20241015,-7.82992125984252,"-8579470.151","4731035.5582","2275","Montgomery                                        ","15.268","12701 GOODHILL ROAD","SILVER SPRING","MD","20906","6-8","Middle","ZCTA5 20906","B19301_001",43855,2171
"2","Aberdeen High","Math",18.7590517241379,2023,12,"Harford",270," Mathematics All Grades","All Students","626","57",9.1,"38.8","52.1","7.5","<= 5.0",20241015,-9.65905172413793,"-8479327.9093","4795914.6267","2232","Harford                                           ","12.058","251 PARADISE ROAD","ABERDEEN","MD","21001","9-12","High","ZCTA5 21001","B19301_001",40698,2393
"3","Aberdeen Middle","Math",20.8189931350114,2023,12,"Harford",265," Mathematics All Grades","All Students","1036","54",5.2,"51.0","43.8","5.1","<= 5.0",20241015,-15.6189931350114,"-8478596.3742","4795770.8767","1721","Harford                                           ","12.006","111 MOUNT ROYAL AVENUE","ABERDEEN","MD","21001","6-8","Middle","ZCTA5 21001","B19301_001",40698,2393
"4","Abingdon Elementary","Math",45.1042440318302,2023,12,"Harford",123," Mathematics All Grades","All Students","294","113",38.4,"10.9","50.7","37.1","<= 5.0",20241015,-6.70424403183025,"-8496487.5503","4790292.5737","1871","Harford                                           ","12.049","3001 S. TOLLGATE ROAD","ABINGDON","MD","21009","PreK-5","Elementary","ZCTA5 21009","B19301_001",50399,2749
"5","Accident Elementary","Math",39.2973214285714,2023,11,"Garrett",1501," Mathematics All Grades","All Students","101","41",40.6,"<= 5.0","56.4","35.6","<= 5.0",20241015,1.30267857142857,"-8828799.6051","4811777.2151","1725","Garrett                                           ","11.013","534 ACCIDENT BITTINGER ROAD P.O. BOX 260","ACCIDENT","MD","21520","PreK-5","Elementary","ZCTA5 21520","B19301_001",41376,17036
"6","Allegany High","Math",9.7,2023,1,"Allegany",606," Mathematics All Grades","All Students","416","54",13,"27.4","59.6","13.0","<= 5.0",20241015,3.3,"-8771485.4174","4816032.1774","1467","Allegany                                          ","01.038","900 SETON DRIVE","CUMBERLAND","MD","21502","9-12","High","ZCTA5 21502","B19301_001",30485,1296
"7","Allenwood Elementary","Math",10.7016949152542,2023,16,"Prince George's",632," Mathematics All Grades","All Students","159","15",9.4,"49.7","40.9","9.4","<= 5.0",20241015,-1.30169491525424,"-8563825.0303","4693506.1299","1921","Prince George's                                   ","16.205","6300 HARLEY LANE","TEMPLE HILLS","MD","20748","PreK-5","Elementary","ZCTA5 20748","B19301_001",40547,2000
"8","Andrew Jackson Academy","Math",6.9,2023,16,"Prince George's",645," Mathematics All Grades","All Students","260","*",5,"64.6","31.2","<= 5.0","<= 5.0",20241015,-1.9,"-8561390.8312","4698955.757","2312","Prince George's                                   ","16.197","3500 REGENCY PARKWAY","FORESTVILLE","MD","20747","PreK-8","PreK-8","ZCTA5 20747","B19301_001",38921,2062
"9","Annapolis Elementary","Math",20.647619047619,2023,2,"Anne Arundel",4092," Mathematics All Grades","All Students","77","19",24.7,"27.3","48.1","23.4","<= 5.0",20241015,4.05238095238095,"-8514574.6733","4718312.8432","2575","Anne Arundel                                      ","02.034","180 GREEN STREET","ANNAPOLIS","MD","21401","PreK-5","Elementary","ZCTA5 21401","B19301_001",78167,6474
"10","Annapolis High","Math",7.4,2023,2,"Anne Arundel",4013," Mathematics All Grades","All Students","74","4",5.4,"54.1","40.5","5.4","<= 5.0",20241015,-2,"-8523241.0895","4718020.0773","2383","Anne Arundel                                      ","02.030","2700 RIVA ROAD","ANNAPOLIS","MD","21401","9-12","High","ZCTA5 21401","B19301_001",78167,6474
"11","Annapolis Middle","Math",29.6073359073359,2023,2,"Anne Arundel",4033," Mathematics All Grades","All Students","842","57",6.8,"65.6","27.7","6.4","<= 5.0",20241015,-22.8073359073359,"-8517213.9808","4715670.27","2378","Anne Arundel                                      ","02.061","1399 FOREST DRIVE","ANNAPOLIS","MD","21403","6-8","Middle","ZCTA5 21403","B19301_001",76445,5820
"12","Apple Grove Elementary","Math",18.1538181818182,2023,16,"Prince George's",1229," Mathematics All Grades","All Students","249","17",6.8,"37.8","55.4","6.4","<= 5.0",20241015,-11.3538181818182,"-8567466.6674","4691515.1758","2041","Prince George's                                   ","16.057","7400 BELLEFIELD AVENUE","FORT WASHINGTON","MD","20744","PreK-6","Elementary","ZCTA5 20744","B19301_001",51671,2307
