X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8602280.564,4756992.9936,1370,Montgomery                                        ,15.270,Little Bennett Elementary                                   ,23930 BURDETTE FOREST ROAD,CLARKSBURG,MD,20871,K-5,Elementary
-8587536.8671,4720240.1732,1371,Montgomery                                        ,15.207,Burning Tree Elementary                                     ,7900 BEECH TREE ROAD,BETHESDA,MD,20817,K-5,Elementary
-8583177.6964,4736399.5588,1372,Montgomery                                        ,15.236,North Lake Center                                           ,15101  BAUER DRIVE,ROCKVILLE,MD,20853,,Alternate
-8570205.8605,4734801.0057,1373,Montgomery                                        ,15.169,Drew (Dr. Charles) Elementary                               ,1200 SWINGINGDALE DR,SILVER SPRING,MD,20905,PreK-5,Elementary
-8601597.9662,4743514.8582,1374,Montgomery                                        ,15.269,Great Seneca Creek Elementary                               ,13010 DAIRYMAID ROAD,GERMANTOWN,MD,20874,K-5,Elementary
-8592514.5446,4742313.6502,1375,Montgomery                                        ,15.068,Gaithersburg Middle                                         ,2 TEACHERS WAY,GAITHERSBURG,MD,20877,6-8,Middle
-8590863.1124,4727978.6381,1376,Montgomery                                        ,15.053,Churchill (Winston) High                                    ,11300 GAINSBOROUGH ROAD,POTOMAC,MD,20854,9-12,High
-8373669.9706,4624865.3431,1377,Worcester                                         ,23.007,Buckingham Elementary                                       ,100 BUCKINGHAM ROAD,BERLIN,MD,21811,PreK-4,Elementary
-8393012.8748,4602790.2294,1378,Worcester                                         ,23.008,Snow Hill Elementary                                        ,515 COULBOURNE LANE,SNOW HILL,MD,21863,PreK-3,Elementary
-8412003.9623,4588867.8134,1379,Worcester                                         ,23.011,Pocomoke Middle                                             ,800 EIGHTH STREET,POCOMOKE CITY,MD,21851,4-8,Elementary/Middle
-8372502.2612,4626283.5615,1380,Worcester                                         ,23.012,Berlin Intermediate                                         ,309 FRANKLIN AVENUE,BERLIN,MD,21811,5-6,Elementary/Middle
-8370335.8612,4634754.5291,1381,Worcester                                         ,23.001,Showell Elementary                                          ,11318 SHOWELL SCHOOL ROAD,BERLIN,MD,21811,PreK-4,Elementary
-8411104.7517,4587516.3677,1382,Worcester                                         ,23.002,Pocomoke Elementary                                         ,2119 POCOMOKE BELTWAY,POCOMOKE CITY,MD,21851,PreK-3,Elementary
-8410475.1574,4587887.4643,1383,Worcester                                         ,23.003,Pocomoke High                                               ,1817 OLD VIRGINIA ROAD,POCOMOKE CITY,MD,21851,9-12,High
-8370138.3888,4627809.1685,1384,Worcester                                         ,23.004,Stephen Decatur High                                        ,9913 SEAHAWK ROAD,BERLIN,MD,21811,9-12,High
-8392339.5904,4603305.49,1385,Worcester                                         ,23.005,Snow Hill High                                              ,305 S. CHURCH STREET,SNOW HILL,MD,21863,9-12,High
-8426387.1508,4638105.33,1386,Wicomico                                          ,22.026,Westside Intermediate                                       ,8000 QUANTICO ROAD,HEBRON,MD,21830,2-5,Elementary
-8388651.1756,4635233.7569,1387,Wicomico                                          ,22.027,Willards Elementary                                         ,36161 RICHLAND ROAD,WILLARDS,MD,21874,PreK-3,Elementary
-8417954.0029,4631075.0419,1388,Wicomico                                          ,22.028,Pemberton Elementary                                        ,1300 PEMBERTON DRIVE,SALISBURY,MD,21801,PreK-5,Elementary
-8432135.219,4645366.4926,1389,Wicomico                                          ,22.018,Mardela Middle/High                                         ,24940 DELMAR ROAD,MARDELA,MD,21837,6-12,Middle/High
-8416043.0055,4632696.4727,1390,Wicomico                                          ,22.020,Chipman Elementary                                          ,711 LAKE STREET,SALISBURY,MD,21801,PreK-1,Elementary
-8415133.1306,4628566.6358,1391,Wicomico                                          ,22.021,OLD Bennett Middle                                          ,510 COULBOURNE LANE,SNOW HILL,MD,21863,6-8,Middle
-8431150.4698,4630461.1036,1392,Wicomico                                          ,22.024,Westside Primary                                            ,6046 QUANTICO ROAD,QUANTICO,MD,21856,PreK-1,Elementary
-8411729.5248,4630383.7681,1393,Wicomico                                          ,22.010,Glen Avenue Elementary                                      ,1615 GLEN AVENUE,SALISBURY,MD,21804,2-5,Elementary
-8432345.6163,4645918.9696,1394,Wicomico                                          ,22.012,Northwestern Elementary                                     ,9975 SHARPTOWN ROAD,MARDELA SPRINGS,MD,21837,PreK-5,Elementary
-8414568.9006,4629786.335,1395,Wicomico                                          ,22.014,Prince St. Elementary                                       ,400 PRINCE STREET,SALISBURY,MD,21804,PreK-5,Elementary
-8414520.1502,4631299.9829,1396,Wicomico                                          ,22.015,Wicomico Middle                                             ,635 EAST MAIN STREET,SALISBURY,MD,21804,6-8,Middle
-8417031.6731,4624645.536,1397,Wicomico                                          ,22.016,Fruitland Primary                                           ,301 NORTH DIVISION STREET,FRUITLAND,MD,21826,PreK-2,Elementary
-8418271.7972,4625468.2059,1398,Wicomico                                          ,22.017,Fruitland Intermediate                                      ,208 W. MAIN STREET,FRUITLAND,MD,21826,3-5,Elementary
-8412910.4575,4632414.1221,1399,Wicomico                                          ,22.003,East Salisbury Elementary                                   ,1201 OCEAN CITY ROAD,SALISBURY,MD,21804,3-5,Elementary
-8414884.2332,4633104.6584,1400,Wicomico                                          ,22.004,North Salisbury Elementary                                  ,1213 EMERSON AVENUE,SALISBURY,MD,21801,3-5,Elementary
-8406857.171,4632816.1543,1401,Wicomico                                          ,22.005,Beaver Run Elementary                                       ,31481 OCEAN CITY ROAD,SALISBURY,MD,21804,PreK-2,Elementary
-8413004.0194,4642880.4218,1402,Wicomico                                          ,22.007,Delmar Elementary                                           ,811 SOUTH 2ND STREET,DELMAR,MD,21875,PreK-4,Elementary
-8414760.2014,4628332.8879,1403,Wicomico                                          ,22.008,J.M. Bennett High                                           ,300 EAST COLLEGE AVENUE,SALISBURY,MD,21804,9-12,High
-8413461.358,4631131.5852,1404,Wicomico                                          ,22.009,Wicomico High                                               ,201 LONG AVENUE,SALISBURY,MD,21804,9-12,High
-8649338.7294,4809458.942,1405,Washington                                        ,21.051,Funkstown Elementary                                        ,23 FUNKSTOWN ROAD,HAGERSTOWN,MD,21740,K-12,Elementary/Middle/High
-8676423.977,4817241.103,1406,Washington                                        ,21.048,Claud Kitchens Outdoor School at Fairview                   ,12808 DRAPER ROAD,CLEAR SPRING,MD,21722,OUTDOOR,Environmental Ed.
-8675595.7401,4816189.7249,1407,Washington                                        ,21.042,Clear Spring Elementary                                     ,12627 BROADFORDING ROAD,CLEAR SPRING,MD,21722,PreK-5,Elementary
-8653179.4557,4810146.3182,1408,Washington                                        ,21.038,E. Russell Hicks Middle                                     ,1321 SOUTH POTOMAC STREET,HAGERSTOWN,MD,21740,6-8,Middle
-8412815.4717,4628902.2771,1409,Wicomico                                          ,22.001,Parkside High                                               ,1015 BEAGLIN PARK DRIVE,SALISBURY,MD,21804,9-12,High
-8417269.053,4629189.7554,1410,Wicomico                                          ,22.002,Pinehurst Elementary                                        ,520 S. PINEHURST AVENUE,SALISBURY,MD,21801,PreK-5,Elementary
-8651555.9993,4817928.7919,1411,Washington                                        ,21.046,Fountaindale Elementary                                     ,901 NORTHERN AVENUE,HAGERSTOWN,MD,21740,PreK-5,Elementary
-8653329.3243,4810047.5901,1412,Washington                                        ,21.049,Antietam Academy                                            ,40 WEST OAK RIDGE DRIVE,HAGERSTOWN,MD,21740,6-12,Middle/High
-8649638.1256,4813308.1754,1413,Washington                                        ,21.041,Pangborn Blvd. Elementary                                   ,195 PANGBORN BOULEVARD,HAGERSTOWN,MD,21740,PreK-5,Elementary
